lemma,HasProperty,MotivatedByGoal,CapableOf,NotUsedFor,HasFirstSubevent,Desires,InstanceOf,DerivedFrom,HasSubevent,RelatedTo,CausesDesire,MadeOf,SymbolOf,PartOf,EtymologicallyDerivedFrom,UsedFor,AtLocation,Synonym,IsA,Causes,TranslationOf
驚慌失措,,,,,,,,,"火災,地震,失火,迷路,打手槍被發現,鬼屋,車禍,發現被劈腿後",,,,,,,,,,,,
驚慌,,,,,,,,,"地震,火災,空鬼屋,坍方,密室",,,,,,,"聖經,十字架",,,/c/en/crematogaster_elegans,"大地震,停電,突然停電,颶風,烤肉",
驚愕,,,,,,,,,,,,,,,,,,,,鐮刀死神,"/c/en/astonishment/n/amazement,_great_surprise,/c/en/consternation/n/amazement_or_horror;_terror,_combined_with_amazement;_dismay"
驚惶失措,,,,,,,,,,,,,,,,,,,,,
驚惶,,,,,,,,,,,,,,,,,,,,,"/c/en/frighten/a/afraid,_suffering_from_fear"
驚喜萬分,,,,,,,,,,,,,,,,,,,,,
驚喜交集,,,,,,,,,,,,,,,,,,,,,
驚喜,,"找爸爸,對別人好,做好事,大笑,找媽媽,暗示別人",,,,,,,,,,,,,,,,,"禮物,未知,發票","禮物,買彩卷,買福袋,摸彩,看電影,逛街,生日,寵物,流星,生日party,生日禮物,中樂透,女友,買東西,迷路,驚訝,成績單,猜拳,聖誕老公公,衝動,買氣球,刮刮卡,中獎,宴會,放榜,朋友,紅包,去找你,小說",
驚訝,奇妙,"哭,尖叫",,,"猜輸多拉a夢,完",,,,"吳淑珍站起來,喪失記憶,寵物死掉,抽到金馬獎,偷情被抓到時,看到彩紅",,,,！,,,,"快樂,生活的樂趣,恐懼",,,"吃驚,新聞,脫光光,巧遇,發現恐龍,發現被劈腿,緣分,上ptt,什麼,山地話,流星,看到鬼,看電視,數學滿分,中樂透,驚喜生日派對,五月雪,吃到牛排,考試第一名,驗孕",
驚異,,,,,,,,,,,,,,,,,,,,,"/c/en/astonishment/n/amazement,_great_surprise"
驚悚,,,,,,,,,,,,,,,,,,,,看csi,
驚恐萬狀,,,,,,,,,,,,,,,,,,,,,
驚恐,,,,,,,,,,,,,,,,,,,,"害怕,看鬼片",/c/en/alarmedly/r/in_an_alarmed_manner
驚怕,,,,,,,,,,,,,,,,,,,,,
驚奇,,,,,,,,,,,,,,,,,,,,"汞,閱讀,魔法,龍",/c/en/dazzle/v/figuratively
驚呆,,,,,,,,,,,,,,,,,,,,,/c/en/dumbfound/a/shocked_and_speechless
驚心掉膽,,,,,,,,,,,,,,,,,,,,,
驚心動魄,,,,,,,,,,,,,,,,,,,,,
驚心,,,,,,,,,,,,,,,,,,,,,
驚弓之鳥,,,,,,,,,,,,,,,,,,,,,
驚人,,,,,,,,,,,,,,,,,,,,,"/c/en/amazingly/r/wonderfully,/c/en/astonish/a/causing_astonishment"
驚,,,,,,,,,,,,,,,,,,,,,
變質,,,"感情,寵愛,香水,友情,知識",,,"愛情,饅頭",,,,,,,,,,,,,,,"/c/en/degenerate/a/having_deteriorated,_degraded_or_fallen_from_normal,/c/en/transubstantiation/n/conversion_of_one_substance_into_another"
變動,,,景觀,,,,,,,,,,,,,,,,,,"/c/en/variation/n/the_act_or_state_of_varying,/c/en/fluctuation/n/wavering;_unsteadiness"
變味,,,,,,,,,,,,,,,,,,,,,
變色,,,"變色龍,鬧鐘,天空,屍體",,,變色龍,,,,,,,,,,,,,,,/c/en/discolor/v/(intransitive)_to_change_or_lose_color
攪亂,,,,,,,,,,,,,,,,,,,,,
戀戀不捨,,,,,,,,,,,,,,,,,,,,,
戀愛,,"開心,笑",,,,學生,,,,,曖昧,,"紅色,粉紅色",失戀,,"錢,花",,,,喜歡,
戀情,,,,,,,,,,,,,紅色,,,,,,,"好運,帥哥",
戀家,,,,,,,,,,,,,,,,,,,,親情,
戀春,,,,,,,,,,,,,,,,,,,,,
戀人,,"打扮,朋友,送禮物,感情,愛自己,麻及,有車,送花,有錢",,,,,,,,,,"愛情,戀愛,幸福",閃光,,,,,,,告白,
戀,,,,,,,,,,,,"愛,戀愛",,,,,,,,,
髒,"大便,蟑螂,垃圾,鼻孔,空氣","洗澡,清理,換衣服,洗手,打掃,沖水,想洗澡,清潔","毯子,鞋子,大便,湯匙,內褲,衣服,垃圾桶,杯子,洞穴,汙垢",,,"蟑螂,貓,貓咪,帥哥",,,,,,,"大便,黑色",,,,,,,"不洗澡,挖鼻屎,屎,流汗,玩耍,不愛乾淨,老鼠",
驕傲,獅子,,台大,,,天才,,,優校建國中學,,,,"王建民,有錢,薔薇",,,,,,"世界首富,做自己,晉級,當總統","成功,自信,走路有風,幫助別人,自尊,考滿分,長太帥,世運會,成就,自大,做好事,得名,我的兒子","/c/en/proud/a/gratified,_feeling_honoured,_feeling_satisfied"
顫抖,,,,,,,,,"天冷,害怕,憋氣,颱風,南極,打119",,"冷,天氣冷",,,,,"身體,棉被,手,肌肉,火爐,熱水",,,,"害怕,冷,恐懼,考試,報告,面試,尖叫聲,恐怖片,吹冷氣,壞人,寒冷,色狼","/c/en/tremor/n/shake,_quiver,_or_vibration,/c/en/shiver/v/to_tremble_or_shake,/c/en/tremble/n/a_shake,/c/en/shiver/n/the_act_or_result_of_shivering,/c/en/tremor/v/to_shake_or_quiver;_to_tremble"
竊笑,,,,,開心,,,,,,被人告白,,科科,,,,,,,,
灑淚,,,,,,,,,,,,,,,,,,,,,
歡歡喜喜,,,,,,,,,,,,,,,,,,,,,
歡躍,,,,,,,,,,,,,,,,,,,,,
歡騰,,,,,,,,,,,,,,,,,,,,,/c/en/exultation/n/lively_joy_at_success_or_victory
歡顏,,,,,,,,,,,,,,,,,,,,,
歡聲,,,,,,,,,,,,,,,,,,,,,
歡樂,,"唱歌,辦party",,,,,,,聖誕節,,,快樂,紅色,,,,,,,"電視,開心,唱歌,朋友,快樂,寵物,上ptt,遊戲,狗,養寵物,旅遊,玩遊戲,聊天,我,遊玩,彩券,看電影,禮券,貓貓,笑,跳舞,升遷,吃雞排,吃飯,同樂會,派對,融洽的氣氛,食物,吃滷味,愉快,旅行,活動",
歡聚,,,,,,,,,,,,,,,,,,,,,
歡暢,,,,,,,,,,,,,,,,,,,,,
歡愉,,,,,,,,,,,,,,,,保險套,,,,"看電視,愛情,吃到飽,玩樂,聊天,學小狗打滾,旅遊,考100分,睡覺,上b哈拉,打電腦,有錢,瘋狂購物,看到喜歡的人,美麗,談情說愛,中樂透,玩dmgf,玩遊戲,看書,親熱,戀愛,快樂,打電動,做愛,吃大餐,嗯哼",
歡喜,"享受,分手","開心,唱歌",哈哈,,吃東西,喜歡,,,"唱歌,打網球,高興",,,心情,,,,,,,,"上ptt,友情,喝奶茶,歡樂,看書,發財,助人,哈哈大笑,中樂透,生女兒,看電視",
歡送,,,,,,,,,,,,,,,,,,,,,
歡笑,,,人,,,,,,"喜劇,看小說",,,,快樂,,,,遊戲,,,"看電視,開心,唱歌,快樂,小丸子,動漫,我,小孩,聽到笑話,你,野生動物,看綜藝節目,看到小孩,記憶,電視,聊天,讀書,財神,買菸,遠足,電話,海綿,狗,狗狗,玩競舞團,看演唱會,友誼,樂透",
歡悅,,,,,,,,,,,,,,,,,,,,,
歡娛,,,,,,,,,,,,,,,,,,,,,
歡眉喜眼,,,,,,,,,,,,,,,,,,,,,
歡迎,,,,,,,,,,,,,熱情,,,,,,,"口愛,和林晏慈交往",
歡欣鼓舞,,,,,,,,,,,,,,,,,,,,勝利,
歡欣,,,,,,,,,,,,,,,,,,,,,
歡呼雀躍,,,,,,,,,,,,,,,,,,,,,
歡呼,,,開心的時候,,"跨年,驗退,拿到手,看到少女時代",,,,"跨年,慶祝,興奮,發薪日,演唱會,喝醉時,玉山頂上,玩,收割,看日出,打電動時",,"開心,快樂,抱抱,球隊贏球,生日,全壘打,按摩,發薪,煙火,贏球,被懂",,,,,,,,,"開心,贏球,全壘打,歐趴,托福滿分,王建民,驗孕,大膽,看球類比賽,高興,放假不用上課,快樂,聽音樂",
歡快,,,,,,,,,,,,,,,,,,,,,
歡心,,,,,,,,,,,,,,,/c/fr/crémer,,,,,馬總統,
歡天喜地,,,,,,,,,,,,,,,,,,,,,
歡,,,,,,,,,,,,,,,,,,,,,
黯然銷魂,,,,,,,,,,,,,,,,,,,,,
黯然神傷,,,,,,,,,,,,,,,,,,,,,
黯然,,,,,,,,,,,,,,,,,,,,,
顧慮重重,,,,,,,,,,,,,,,,,,,,,
顧慮,,,,,,,,,,,,,,,,,,,,,
顧盼自雄,,,,,,,,,,,,,,,,,,,,,"/c/ja/始末書,/c/ja/弁明書"
顧念,,,,,,,,,,/c/lv/garais_ū/n,,,,,,,,,,,
躊躇滿志,,,,,,,,,,,,,,,,,,,,,
躊躇,,,,,,,,,,,,,,,,,,,,,/c/en/hesitate/v/to_stop_or_pause_respecting_decision_or_action
護,,,,,,,,,,,,,,,,,,,,,
譴責,,,做壞事,,,移民,,,,,,罪惡,,,,,,,,,"/c/en/accuse/v/attribute_blame_to_someone,/c/en/condemnation/n/act_of_condemning_or_pronouncing_to_be_wrong"
蠢,呆子,笑,,,,笨笨,,,,,,,"還是愛著初戀,笨蛋",,,,,,"憨包,恨,迷戀","笨,呆,白痴,看電視","/c/en/fatuous/a/obnoxiously_stupid,_vacantly_silly,_content_in_one's_foolishness"
纏綿悱惻,,,,,,,,,,,,,,,,,,,,,
纏綿,初戀,,,,,,,,,,,,,,,,,,,,
纏訟,,,,,,,,,,,,,,,,,,,/c/en/señor_and_queen,,
纏身,,,,,,,,,,,,,,,,,,,,,
纍纍,,,,,,,,,,,,,,,,,,,,,
爛貨,,,,,,,,,,,,,,,,,,,,,
爛,蘋果,,,,,"豆腐,唱歌",,,,,,,,,,,,,,,/c/en/rubbish/a/exceedingly_bad;_awful;_terrible;_crappy
攛,,,,,,,,,,,,,,,,,,,,,
懾,,,,,,,,,,,,,,,,,,,,,
懼怕,火,,,,,,,,接近,,,,,,,,,,恐懼,"小強,打雷,土石流,影,天黑,蟑螂",
懼,,,,,,,,,,,,,,,,,,,,,
騷擾,,,,,,"正妹,女生,老師,空姐,美女,姊姊,所有人都",,,,,,,,,,,,,亂丟水球,上電視,/c/en/harassment/n/persistent_attacks_and_criticism_causing_worry_and_distress
騷貨,,,,,,,,,,,,,,,,,,,,,
騷動,,,,,,,,,,,,,,,,,,,,"正妹,女人,h1n1流行,游行,發現若勤是男,看動畫,考試亂寫,不安,蟲,跳樓自殺,大拍賣,放榜,海綿寶寶,火災,讀博愛國小,釋放阿扁,太美,蘿莉,圍毆,明星來了,被檢舉亂發問,鄭橋彬,青蛙,大明星出現","/c/en/riot/n/wanton_or_unrestrained_behavior,/c/en/uproar/n/noisy_excitement"
騷,,,,,,,,,,,,,,,,,,,,,
饒恕,,,,,,,,,,,,,,,,,,,,,
飄飄然,,,飛,,,,,,夢想,,,,,,,,,,,抽大麻,
飄飄欲仙,,,被讚美,,,,,,,,,,,,,,,,,"快樂,打電動,遊戲,和別人曖昧,喝酒,喝醉酒,感冒快要好時,開心,吃到美食,愛情,中發票,做愛",
釋然,,,,,,,,,,,,,,,,,,,,,
躁鬱,,,,,,,,,"死亡,討厭的人面前",,,,,,,,,,,"停電,失眠,颱風",
躁急,,,,,,,,,,,,,,,,,,,,,
贏錢,,胡了,"打麻將的人,博弈,打麻將",,,"莊家,打麻將,賭鬼",,,"打麻將,賭博,麻將桌上",,打麻將,,自摸,,,,,,,"賭博,打麻將,過年,麻將,玩牌,打牌",
贏得,,,,,,,,,,,,,,,,,,,,,
贏取,,,,,,,,,,,,,,,,,,,,,
贏,,"猜拳,打在狀態上,跳起來,大叫,打架,練習,大吃慶祝,比賽,衝刺,擁抱朋友","猜拳,兄弟象,玩大富翁四,判決",,,"籃球員,賽車手,球迷,男人,立法委員",,,打排球,,"賭博,玩遊戲,玩game,輸錢,踢足球",,,,,,,,,"猜拳,打排球",/c/en/win/n/individual_victory
警覺,,,,,,,,,,,,,,,,,,,,,
警醒,,,,,,,,,,,,,,,,,,,,,
警惕,,,,,,,,,,,,,,,,,,,,"失敗,生病",/c/en/alert/a/attentive
觸景傷情,,,,,,,,,,,,,,,,,,,,,
觸景生情,,"傷心,想家",,,,,,,,,,,,,,,,,,,
觸動,,,,,,,,,,,,,,,,,,,,,
觸怒,,,,,,,,,,,,,,,,,,,,,/c/en/enrage/v/to_fill_with_rage
觸目驚心,,,,,,,,,,,,,,,,,,,,,
觸,,,,,,,,,,,,,,,,,,,,,
覺著,,,,,,,,,,,,,,,,,,,,,
覺得,,,,,,,,,,,,,,,,,,,,,
覺,,,,,,,,,,,睡,,,,,,,,,,
耀眼,天空,,,,,,,,,,,,,,,,,,明星,,
競爭,,"比賽,考試",,,,"人類,輸的人,無能",,,,,,競爭力,,,,,,,"認真,天梯,考試","考試,陸客",
犧牲,,,,,,,,,"水災,愛",,,,,,,,,,"付出,偉大","愛,富有",
懺悔,,,罪犯,,"被當的時候,被水桶",,,,"教堂,世界末日",,去教堂,,,,,,,,,,
懸念,,,,,,,,,,,,,,,,,,,,,
懸心吊膽,,,,,,,,,,,,,,,,,,,,,
寶貴,"金錢,家人,時間,樹",,,,,,,,,,,,,,,,,,,,
寶貝,"我,女友,糖果,男朋友","做愛,餵養,愛護,責任",,,,"我,人,男朋友,母親",,,,,,我的最愛,,,,,"我,小孩",,"寵物,男朋友,女人,寶石,狗狗,貓,一個女孩",,/c/en/cowry/n/any_mollusc_of_the_genus_cypraea
嚴厲,老闆,,,,,,,,,,,,,,,,,,,,/c/en/severe/a/strict_or_harsh
嚴酷,,,,,,,,,,,,,,,,,,,,,
嚴格,標準,,,,,,,,,,,,,,,,,,,,"/c/en/strict/a/governed_or_governing_by_exact_rules,/c/en/harsh/a/severe_or_cruel,/c/en/strict/a/severe_in_discipline"
嚴峻,,,,,,,,,,,,,,,,,,,,,
嚴重,,,,,,,,,,,,,,,,,,,,,"/c/en/severe/a/very_bad_or_intense,/c/en/serious/a/important;_weighty;_not_trifling;_leaving_no_room_for_play,/c/en/serious/a/really_intending_what_is_said;_being_in_earnest,/c/en/earnest/a/important,_serious"
騙,,,,,,前男友,,,沒錢,,,,,,,,,,,,
顛狂,,,,,,,,,,,,,,,,,,,,,
願意,,,,,,,,,,,,,,,,,,,,"愛,信任,快樂,想要,真愛",
願,,,,,,,,,,,,,,,,,,,,,
霧裡看花,,,,,,,,,,,,,,,,,,,,,
難聽,,,"音樂,唱歌",,,,,,直接唱,,,,,,,,,,,,
難題,,,,,,"寫題目,考試,寫字",,,,,,,,,,,,,愛情,,"/c/en/challenge/n/difficult_task,/c/en/puzzle/n/anything_difficult_to_understand_or_make_sense_of"
難熬,,,,,,,,,,,,,,,,,,,,,
難聞,臭,,"屎,臭",,,,,,,,,,,,,,,,,大便,
難過,,"哭,哭泣,睡覺,流淚,大哭,抱抱",,,,,,,失戀,,,,,,,衛生紙,,,,"失戀,分手,生病,被罵,傷心,吵架,考不好,被當,受傷,失敗,生氣,沒錢,被劈腿,被打,死亡,失去,被甩,肚子餓,被誤會,失望,悲傷,失業,考零分",
難堪,,,,,,分手,,,,,,,,,,,,,,"放屁,做錯,害羞,害些,被老師罵",
難割難捨,,,,,,,,,,,,,,,,,,,,,
難捨難離,,,,,,,,,,,,,,,,,,,,,
難看,,,,,,,,,,,,,,,,,,,,"禿頭,嚼檳榔,放屁",
難為情,,,,,,,,,臉紅,,,,,,,,,,,被偷看,/c/en/embarrass/a/having_a_feeling_of_shameful_discomfort
難受,寂寞,哭,吃太多,,,,,,"生病,便秘,失戀,生氣,想尿尿",,"自虐,單相思",,,,,,,,病,"抽菸,生病,丟錢包,頭痛,癌症,重病,吃太飽,跌倒,失業,節食,被欺負",
難吃,"藥,苦瓜,苦,辣椒,餅乾,酸,飯糰,榴槤",,,,,吃東西,,,,,,,翻桌,,,,,,,吃飯,/c/en/unpalatable/a/unpleasant_to_the_taste
難以置信,,,,,,,,,,,,,,,,,,,,,"/c/en/unbelievable/a/implausible,/c/en/incredible/a/too_implausible_to_be_credible"
難以名狀,,,,,,,,,,,,,,,,,,,,,
關懷,,,媽媽,,,"寵物,孤兒,老人,失望,小狗",,,相愛時,,,"愛,愛心,家庭,快樂,媽媽,友誼,感動",愛,愛心,,,慈悲,,"愛,安慰,家庭,救災行動","愛,親情,親人,老婆婆",
關心,,"談戀愛,罵人","親戚,讓她懂我的心,朋友",,狗狗生病,"體貼,災民,自我感覺良好",,,,,"捐錢,生病的人,乞丐,看到老太太,愛人","愛情,愛,愛心,家庭,友達","康乃馨,摸頭",,,,,,"你好嗎,愛","愛,在意,媽媽,在乎,親人",
辭職,,遞辭呈,"老闆,虐待員工",,,"老師,上班族",,,,,"錢太少,有新工作,沒加薪,短期員工打混,工作太多,無聊,常加班,被老闆罵,老闆兇,薪水低,薪水太低,生氣,誤會,老闆機車",,,,,,,,,"不順遂,待遇差,薪水少,太勞累,不高興,壓力大",
贊同,,,,,,,,,,,,,點頭,,,,,,,,"/c/en/accept/v/to_agree_to,/c/en/approval/n/permission"
譏,,,,,,,,,,,,,,,,,,,,,
穩健,,,,,,,,,,,,,,,,,,,,釣魚,
穩如泰山,,,,,,,,,,,,,,,,,,,,,
禱,,,,,,,,,,,,,,,,,,,,,
礙難,,,,,,,,,,,,,,,,,,,,,
癡漢,,,,,,"正妹,護士",,,,,,,,,,,,,,"日本,蘿莉",
癡迷,,,,,,,,,,,,,,,,,,,,看漫畫,
癡心妄想,,,,,,,,,,,,,,,,,,,,,
癡心,,,,,,,,,,,,,,,,,,,,,
癡,,,,,,,,,,,,,,,,,,,想念,情,
爆發,,,"火山,炸彈,媽媽,女朋友,痘痘,活火山,壞心情,生氣憋太久,憤怒",,,,,,,,,,,,,,,,,冰島火山,"/c/en/eruption/n/violent_ejection,_such_as_that_of_lava_from_a_volcano"
懷戀,,,,,,,,,,,,,,,,,,,,,
懷疑,,,人,,,"人類,女人",,,猶豫,,,,皺眉頭,,,,,,,"不信任,心花花,不自然舉動,愛他,有心病","/c/en/doubt/n/uncertainty,/c/en/suspicion/n/act_of_suspecting_something_or_someone,_especially_of_something_wrong,/c/en/suspect/v/distrust,_have_doubts_about"
懷想,,,,,,,,,,,,,,,,,,,,,
懷鄉,,,,,,,,,,,,,,,,,,,,,
懷春,,,,,,,,,,,,,,,,,,,,,
懷恨,,欺負別人閃光,,,,,,,,,,,,,,,,,,,
懷念,,"製作雕像,想念",,,,,,,,,,,,,,,,,思念,"想念,回憶,相框,喜歡,死亡",
懶蟲,,,,,,,,,,,,,,,,,,,,,
懶散,人,享受,,,,"老闆,貓兒",,,,,放春假,,,,,枕頭,,,,"怠惰,懶惰,放暑假,激情,玩,打哈欠,遊戲",
懶惰,,"睡覺,不想動,裝病暈倒,變胖,失敗,太懶散,無所事事,難,翹課",,,,"工作的人,認真的人",,,,,,,懶惰蟲,,,,,,,"不想動,宅,睡覺,不勤勞,很累,想睡覺,生病,台科大學生證",
懶趴,,,,,,,,,,,,,,,,,,,,,
懶洋洋,,,貓咪,,,"小豬,貓咪,貓",,,"填飽肚子,放鬆身體,颱風日,生病的時候",,,,,,,,,,,"放假,烈日當頭,放四天假,睡太久,讀書讀太久,吃太飽",
懶叫,,,,,,,,,,,,,,,,,,,,,
懶,,"睡覺,痠痛",,,,,,,寒流,,,,上網,,,,,,,"剛睡醒,運動完,生病",
懲罰,,,,,,"學生,小孩,我,警察,人,僕人,小偷,小明,好人,曉華,野原新之助,狗,小朋友,零分",,,,,,,,天災,,,,,站哨,"作弊,偷東西,說謊,遲到","/c/en/penalty/n/punishment_for_violating_rules_of_procedure,/c/en/punishment/n/the_act_of_punishing"
寵壞,,,,,,,,,,,,,,,,,,,,,/c/en/spoil/a/of_a_child
寵愛,,,,,,,,,,,"女人,男人",公主病,,,,,,,,喜歡,
寵辱不驚,,,,,,,,,,,,,,,,,,,,,
寵幸,,,,,,,,,,,,,,,,,,,,,
寵,,,,,,,,,,,貓,,,,,,,,,,
壞運,,,,,,"我,戰士",,,,,,,,,,,,,,"好運,生氣,打破鏡子,詛咒,養小鬼,亂丟東西,欺騙,走夜路,黑色星期五,亂發脾氣,打破碗,衰命,觸犯禁忌,鞋帶莫名斷掉,從梯子下經過,殺人放火,自以為是,踩到大便,鞋帶斷掉,做壞事,心機重,肥胖,遇到黑貓",
壞話,,,,,,,,,,,,,,,,,,,,,
壞蛋,,"從小教育,先有好蛋,處於亂世,打破雞蛋,讓她臭酸",,,,"超人,正妹,電玩主角,小天使,女人,老師",,,,,,"奸商,流氓",,,,,,,,太多錢,"/c/en/villain/n/scoundrel,/c/en/scoundrel/n/villain,/c/en/bad_egg/n/rogue"
壞處,,,,,,,,,,,,,,,,,,,,"熬夜,上網,作弊,玩電腦,賄選,賭博",
壞事,,,"惡魔,陌生人",,,"人,劉若英,我",,,,,,悲傷,,,,,,,"說謊,偷吃","不祥的,惡魔,做好事,失眠,得罪人,犯罪,亂花蓮,中樂透,打瞌睡",
壞死,,,,,,,,,,,,,,,,,,,,,
壞心,,,,,,超人,,,,,,,,,,,,,,,
壞人,,,,,,"好人,警察,狗,人,小孩,我,貓,貓咪,媽媽,女生,女人,他,小狗,有錢人,老師,天使,總統,馬英九,你",,,,,,詐騙集團,,,,,,,,,
鬆懈,,,,,,,,,,,,,,,,,,,,"分開,放心,輕敵,結束",
鬆快,,,,,,,,,,,,,,,,,,,,,
騎虎難下,,,,,,,,,,,,,,,,,,,,,
額手稱慶,,,,,,,,,,,,,,,,,,,,,
鞭長莫及,,,,,,,,,,,,,,,,,,,,,
離婚,,"難過,結婚,找律師",結婚,,,"爸爸,父母,夫妻,女生,庾澄慶,原配,女人,父母爭執,父親,爸媽",,,,,,,,,,"文件,離婚協議書",,,,"結婚,外遇,吵架,劈腿,打架,家暴,外遇被抓到,趙建銘,婚姻,偷腥,抓猴,外面的情婦,失業,小三,打老婆,老公打完老婆",
雞掰,,,,,,,,,,,,,,,,,,,,,
雞巴,,,,,,,,,,,,,,,,,,,,,
雜亂,,,,,,媽媽,,,,,,,,,,,,,,,
鎮壓,,,,,,,,,,,,,,,,,,,,,/c/en/repression/n/act_of_repressing
鎮靜,,,,,,,,,,,,,,,,,,,,,
鎮定自若,,,,,,,,,,,,,,,,,,,,,
鎮定,,,,,豔遇,,,,地震,,,,,,,,,,,鎮定劑,
轉悲為喜,,,,,,,,,,,,,,,,,,,,,
蹩腳,,,,,,,,,,,,,,,,,,,,,
蹧蹋,,,,,,,,,,,,,,,,,,,,,
豐富,火鍋,,,,,,,,,,,,鮮豔,,,,,,,,"/c/en/plentiful/a/yelding_abundance,/c/en/plenty/n/a_more_than_adequate_amount,/c/en/plentiful/a/existing_in_large_number,/c/en/affluent/a/abundant"
謹慎,,,,,,,,,"考試,救災時,打麻將,執行",,,,,,,,,,73法則,,"/c/en/cautious/a/careful,/c/en/deliberate/a/of_a_person,_carefully_considering_the_probable_consequences_of_a_step,/c/en/prudent/a/sagacious_in_adapting_means_to_ends"
藐視,,,,,,,,,,,,,,,,,,,,,/c/en/despise/v/to_regard_with_contempt_or_scorn
藐,,,,,,,,,,,,,,,,,,,,,
翻然悔悟,,,,,,,,,,,,,,,,,,,,,
翹首以待,,,,,,,,,,,,,,,,,,,,,
翹企,,,,,,,,,,,,,,,,,,,,,
簡潔,,,,,,,,,,,,,,,,,,,,,
歸咎,,,,,,,,,,,,,,,,,,,,,
歸依,,,,,,,,,,,,,,,,,,,,,
歸心似箭,,,,,,,,,"除夕,全身臭臭時",,,,,,,,,,,,
斷線風箏,,,,,,,,,,,,,,,,,,,,,
斷腸,,,,,,,,,,,,,,,,,,,,,
懣,,,,,,,,,,,,,,,,,,,,,
嚮往,,追星,,,,,,,,,,,,,,,,,,魔法,
鮮美,,,,,,,,,,,,,,,,,,,,,
