synset.id,synset.lemma,lemma,POS,Polarity,Collocates,Similar_DSM_dependency,Cause,Result,Sense_num,Emotion_prob,A_Member_of,HYPO,Emily,Yvonne,Amber,MEAN,SD,SCALE,afverb1,afverb2,afverb3,bfverb1,bfverb2,bfverb3
,,喜歡,V,pos,"{陰核,劉鏞,松柏,潑辣,口交,褒姒,鱸鰻,謝女,成群結隊,打電動}",,"{看電影,旅行,閱讀,蒐集,看書,自由行,擁抱,交朋友,溝通,游泳,聊天,上網,唱歌,結交,放假,旅遊,出外,煮飯,打球,觀看,走路,喝,看看,吃到,出國,純愛,追憶,高挑,尊敬,電玩,解讀,追逐,拍照,理財,登山,打牌,跑,親近,推廣,探討,外出,爬,體驗,跳舞,觀賞,從事,睡,摸,練,散步,吃,冒險,爬山,拍攝,發現,感謝,習慣,接受,認識}","{支持,成長,累積,專家,興趣,動力,幸福,快樂}",1,,happiness,,3,3,3,3,0,1.926068113,"黑(VH),鳴唱(VC),高深(VH)","黑(VH),黏黏(VH),鹹(VH)","點名(VA),黑(VH),高興(VK)","難(VH),開始(VL),開始(VH)","鼓勵(VF),高張(VH),飛行(VA)","高興(VK),駐足下來(VA),餵奶(VA)"
,,愉快,V,pos,"{姜育恆,勝任,祝,徐若瑄,輕鬆,鬧,充實,心情,時光,度過}",,,,1,,happiness,,3,2,3,2.666666667,0.577350269,1.772223047,"迎向(VC),豐實(VH),討論(VE)","騎(VC),飛(VA),重要(VH)","預防(VE),順利(VH),非(VG)","體驗(VC),顯得(VK),順利(VH)","７-ELEVEVN(Nb),高興(VK),顯得(VK)","鳴奏(VC),鬧(VC),顯得(VK)"
,,歡喜,V,pos,"{滿心,扮,歡喜,發財,歸,伊,自在,團,笑容,戲}",,,,2,,happiness,,3,2,3,2.666666667,0.577350269,1.772223047,"鳴叫(VA),難得(VH),閱讀(VC)","隨喜(VH),還給(VD),讚嘆(VE)","選(VC),造(VC),講(VE)","露出(VC),開出(VC),知(VK)","讀(VC),講述(VE),見(VE)","響起(VH),陪同(VC),開始(VL)"
,,期待,V,pos,"{歡顏,潘忠韋,滿心,殷切,無所事事,辜負,落空,衷心,熱切,康復}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"養兒防老(VA),風趣(VH),類似(VG)","鼓舞(VC),高(VH),驚天動地(VH)","高蹈(VH),高人一等(VH),高(VH)","高度(VH),難(VH),錯誤(VH)","高度(VH),高亢(VH),高(VH)","齊(VH),鼓勵(VF),鬥爭(VC)"
,,嚮往,V,pos,"{光棍,嚮往,一心,永恆,不已,無限,東方,幸福,畢業,追求}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"高高(VH),那樣(VH),這樣(VH)","追求(VC),身為(VG),贏(VD)","隱居(VA),重大(VH),道(VE)","追求(VC),興起(VC),生(VC)","追求(VC),迫切(VH),讓(VL)","警覺(VH),認為(VE),蔚為(VG)"
,,盼望,V,pos,"{金希文,衷心,真心,盼望,早日,個案,回憶,趕快,各位,深入}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"除(VC),讓(VL),見到(VE)","養育(VC),靜候(VJ),酬報(VC)","陪(VC),降臨(VA),長大(VH)","迫切(VH),翹首(VA),繼續(VF)","邁進(VCL),迷失(VJ),說明(VE)","隱忍(VJ),開始(VH),過境(VA)"
,,欣然,V,pos,"{答應,接納,同意,接受,於是,亦,決定,她,才,我們}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"面對(VC),赴會(VA),購得(VC)","綻放(VC),答應(VE),敗(VH)","點(VC),讓(VL),緊緊(VH)","覺得(VK),喜出望外(VH)","走過(VCL),聽(VE),死(VH)","關懷(VJ),言(VE),肯定(VK)"
,,欣然,D,pos,"{答應,接納,同意,接受,於是,亦,決定,她,才,我們}",,,,1,,,,2,2,3,2.333333333,0.577350269,1.618377981,"面對(VC),赴會(VA),購得(VC)","綻放(VC),答應(VE),敗(VH)","點(VC),讓(VL),緊緊(VH)","覺得(VK),喜出望外(VH)","走過(VCL),聽(VE),死(VH)","關懷(VJ),言(VE),肯定(VK)"
,,期望,V,pos,"{負向,殷切,辜負,寄予,落空,正向,有朝一日,祖國,全力以赴,期望}",,,,1,,happiness,,1,2,3,2,1,1.464532915,"面臨(VK),露出(VC),開始(VL)","高(VH),顯著(VH),類似(VG)","鼓勵(VF),高速(VH),高(VH)","高(VH),難(VH),閱讀(VC)","高(VH),願意(VK),開發(VC)","雪上加霜(VA),闢(VC),關心(VK)"
,,期望,N,pos,"{負向,殷切,辜負,寄予,落空,正向,有朝一日,祖國,全力以赴,期望}",,,,1,,,,1,2,3,2,1,1.464532915,"面臨(VK),露出(VC),開始(VL)","高(VH),顯著(VH),類似(VG)","鼓勵(VF),高速(VH),高(VH)","高(VH),難(VH),閱讀(VC)","高(VH),願意(VK),開發(VC)","雪上加霜(VA),闢(VC),關心(VK)"
,,著迷,V,pos,"{棋賽,為之,深深,景色,令,愈,對於,精神,相當,…}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"所,致,(,V,H,)","進行(VC),興起(VC),成年(VH)","逃難(VA),輟學(VH),興高采烈(VH)","瘋狂(VH),演戲(VA),深深(VH)","驚奇(VK),讓(VL),認同(VJ)","還原成(VG),讓(VL),深深(VH)"
,,入迷,V,pos,"{聽,看,得,對,很,著,我,就,了}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,,"特別(VH),忘神(VH),仰視(VC)","驚嘆(VE),輟學(VH),說(VE)","駐足(VA),聽得(VE),看(VC)","讀(VC),聽(VE),聽(VC)","開始(VL),看(VE),看(VC)"
,,想念,V,pos,"{想念,家鄉,季節,哥哥,心情,久,您,特別,很,妳}",,,,1,,happiness,,1,2,3,2,1,1.464532915,"過去(VA),走失(VH),溫暖(VHC)","謝謝(VJ),說(VE),紅(VH)","這樣(VH),說(VE),認為(VE)","關心(VK),開始(VL),這樣(VH)","這麼(VH),讓(VL),莫名(VH)","高唱(VC),難過(VK),買到(VC)"
,,懷念,V,pos,"{懷念,蔣經國,便當,尊敬,聯考,不已,不禁,多麼,深深,令}",,,,1,,happiness,,1,0,3,1.333333333,1.527525232,1.156842783,"逝去(VH),這樣(VH),老(VH)","願(VK),造就(VC),這樣(VH)","類似(VG),讓(VL),認為(VE)","離不了(VJ),開始(VL),長存(VH)","颳起(VC),顯示出(VK),領會(VJ)","離去(VA),重溫(VJ),選為(VG)"
,,想要,V,pos,"{蹺家,順從,一心,反擊,想要,給出,早點,急切,找回,爭取到}",,,,2,,happiness,,0,1,2,1,1,1.002997716,"魚目混珠(VA),高舉(VC),高人一等(VH)","黃(VH),高亢(VH),高(VH)","麻煩(VHC),騷擾(VC),飼養(VC)","預期(VE),附上(VC),開始(VL)","齊聚一堂(VA),高興(VK),體會(VK)","麻煩(VHC),鬆弛(VHC),養(VC)"
,,心醉,V,pos,"{令,那,人,我,是,的}",,,,1,,happiness,,2,1,3,2,1,1.464532915,"神迷(VH),不已(VH)","神,馳,(,V,C,L,)","百看不厭(VH),地處(VJ)",,"昇華(VH)[+nom],令(VL)","足,以,(,V,L,)"
,,驚訝,V,neu,"{張量,大為,不已,令,感到,感,好奇,竟然,十分,樣子}",,,,1,,,"{喜出望外,受驚,驚慌,驚嚇,膽戰心驚,驚恐,心驚肉跳,心驚膽顫,驚駭,驚喜}",0,-1,2,0.333333333,1.527525232,0.695307584,"轉變成(VG),覺得(VK),發現(VE)","高興(VK),難過(VK),轉成(VG)","靈活(VH),震撼(VJ),離婚(VA)","頓感(VK),覺得(VK),表示(VE)","高興(VK),顯出(VK),造訪(VC)","面對(VC),阻擋(VC),醒(VA)"
,,甜蜜,V,pos,"{溫馨,時光,回憶,吵,溫暖,愈,男女,感情,感覺,擁有}",,,,1,,happiness,,3,2,3,2.666666667,0.577350269,1.772223047,"負擔(VC),說出(VE),芳香(VH)","讓(VL),說(VE),美好(VH)","讓(VL),見(VE),繁雜(VH)","進入(VCL),處於(VJ),留下(VC)","類似(VG),象徵(VK),變(VG)","迷戀(VJ),說起(VE),記得(VK)"
,,高興,V,pos,"{黃初平,侍女,Vivian,暗暗,極了,邀請到,不得了,請到,萬分,糯米}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"高興(VK),領(VC),邀請到(VC)","鼓舞(VC),點點頭(VA),驚訝(VK)","點頭(VA),鬧哄哄(VH),高興(VK)","高興(VK),露出(VC),這樣(VH)","高(VH),驚訝(VK),馱背(VH)","高興(VK),高昂(VH),開始(VL)"
,,快活,V,pos,"{快活,神仙,得很,哈哈,日子,殺,感到,得,卻,比}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"自省(VE),美麗(VH),爽朗(VH)","逗(VC),跳起來(VA),舒展(VHC)","離開(VC),遊遍(VCL),讓(VL)","飄逸(VH),過(VL),過(VCL)[+spv]","過(VCL),走鏢(VA),讓(VL)","開心(VH),釣魚(VA),過節(VA)"
,,狂喜,V,pos,"{心,沒有,著,中,我,一}",,,,1,,happiness,,3,3,3,3,0,1.926068113,,"飲啜(VC),銷魂(VH),輕輕(VH)","跨下(VC),解出(VC),產生(VHC)","沒有(VJ),有(V_2),住(VCL)","無言(VH),無情(VH),激越(VH)","驚奇(VK),知(VK),戰勝(VC)"
,,開心,V,pos,"{逗,羅漢,大獎,笑,莫過於,大笑,不得了,開心,極了,網友}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"開心(VH),迎接(VC),贏得(VJ)","鼓鼓掌(VA),高興(VK),香噴噴(VH)","點頭(VA),驕傲(VH),陪笑(VA)","開心(VH),逗人(VH),轉播(VC)","顯得(VK),雀躍(VH),開胃(VH)","顯現(VH),願意(VK),開心(VH)"
,,雀躍,V,pos,"{不已,興奮,消息,令,們,心,表示,讓,著,之}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"不,已,(,V,H,)","預備(VF),開心(VH),表示(VE)","隱藏(VC)[+vrv],送(VD),表示(VE)","興奮(VH),歡欣(VH),歡呼(VE)","高興(VK),讓(VL),見面(VA)","難(VH),配股(VB),認同(VJ)"
,,喜出望外,V,pos,"{我,他,了,是,的}",,,,1,,{happiness;surprise},,3,3,3,3,0,1.926068113,"發,現,(,V,E,)","說(VE),滿足(VHC),就職(VA)","表示(VE),結下(VC),大漲(VH)","V,i,v,i,a,n,(,N,b,),[,+,f,w,]","起來(VB)[+vrr],讓(VL),說(VE)","造訪(VC),快(VH),大(VH)"
,,歡愉,V,pos,"{性愛,溫馨,氣氛,享受,快樂,感覺,生命,著,卻}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"祥和(VH),熱鬧(VH),浪漫(VH)","難忘(VK),看(VE),玩弄(VC)","隨性(VH),萎靡(VH),自由(VH)","為(VG),溫馨(VH),明亮(VH)","過剩(VH),追求(VC),讚頌(VC)","追逐(VC),迎接(VC),解渴(VH)"
,,暢快,V,pos,"{淋漓,想,她,了,一,的}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"淋漓(VH),恣意(VH),多(VH)","讓(VL),節制(VJ),留下(VC)","費力(VH),自組(VC),習慣(VL)","舒適(VH),無限(VH),淋漓(VH)","顯得(VK),這樣(VH),解脫(VC)","響起(VH),舞動(VC),無(VJ)"
,,歡悅,V,pos,"{我,的}",,,,1,,happiness,,3,3,3,3,0,1.926068113,,,"沒有(VJ),望向(VC)","興奮(VH),珍貴(VH)","興奮(VH),沒有(VJ),沉浸(VI)","抱(VC),感到(VK),令(VL)"
,,心曠神怡,V,pos,"{令,人,的}",,,,1,,happiness,,3,2,3,2.666666667,0.577350269,1.772223047,,"陶醉(VH),過(VCL),經過(VCL)","順口(VH),說到(VE),神往(VJ)","覺(VK),感到(VK)","讓(VL),教(VL),使(VL)","飲茶(VA),襯托(VJ),教(VL)"
,,愉悅,V,pos,"{罪惡,感官,情慾,帶給,心情,性,享受,滿足,心靈,快樂}",,,,1,,happiness,,3,2,3,2.666666667,0.577350269,1.772223047,"祥和(VH),為(VG),有(V_2)","難過(VK),適應(VJ),豐碩(VH)","顛覆(VC),迴避(VC),跳舞(VA)","閃亮(VH),追求(VC),返回(VCL)","驚訝(VK),顯得(VK),通行(VA)","認為(VE),表達(VC),翩翩起舞(VA)"
,,歡暢,V,pos,{的},,,,1,,happiness,,3,3,3,3,0,1.926068113,"愉,悅,(,V,H,)","笑,(,V,A,)",,,"抒,發,(,V,C,)",
,,開懷,V,pos,"{大笑,關懷,笑,地,得,著,讓,能}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"過癮(VH),暢談(VE),接納(VC)","關懷(VJ),笑(VA),新(VH)","說(VE),洋溢(VH),有如(VG)","笑(VA),歡天喜地(VH),想(VE)","高朋滿座(VH),讓(VL),變(VG)","關懷(VJ),這樣(VH),逗(VC)"
,,喜悅,V,pos,"{掩不住,李總,滿心,關愛,榮耀,分享,樂迷,收穫,喜悅,浮現}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"迎接(VC),自在(VH),真(VH)","驚喜(VH),面帶笑容(VA),連結(VC)","難以置信(VI),開眼(VB),開幕(VH)","轉為(VG),象徵(VK),覺得(VK)","高興(VK),顯得(VK),領悟(VJ)","體會(VK),閃過(VCL),遇(VK)"
,,歡欣,V,pos,"{熱鬧,很,時,人,也,都,了,的}",,,,1,,happiness,,3,2,3,2.666666667,0.577350269,1.772223047,"雀躍(VH),踴躍(VH),自在(VH)","跳(VA),豐收(VH),說(VE)","難(VH),選擇為(VG),送嫁(VD)","鼓舞(VC),表達(VC),溫暖(VHC)","難得(VH),自由(VH),榮耀(VH)","迎接(VC),讓(VL),看(VE)"
,,心花怒放,V,pos,{得},,,,1,,happiness,,3,3,3,3,0,1.926068113,,"掉,以,輕,心,(,V,I,)","變(VG),談(VE),說(VE)",,,"拒絕(VF),寂靜(VH)"
,,驚喜,V,pos,"{意外,讀者,令,感到,篇,製造,帶來,教,人們,故事}",,,,1,,{happiness;surprise},,2,3,3,2.666666667,0.577350269,1.772223047,"無窮(VH),有(V_2),叫(VE)","高呼(VE),驚嘆(VE),露(VC)","顯示(VK),醞釀(VF),述說(VE)","露出(VC),難掩(VC),開盤(VA)","讓(VL),說(VE),見(VE)","遇到(VC),費工夫(VH),豐富(VHC)"
,,欣喜,V,pos,"{不已,內心,令,結果,發現,從,於,讓,又,但}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"發現(VE),有(V_2),悲傷(VH)","這樣(VH),發現(VE),教(VC)","願(VK),跌入(VCL),討價還價(VA)","興奮(VH),綻露(VC),滿懷(VJ)","驚異(VH),長命(VH),這樣(VH)","過來(VA),近乎(VG),輕鬆(VH)"
,,甜美,V,pos,"{醜惡,歌聲,笑容,回憶,溫柔,夢,聲音,咖啡,愛情,充滿}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"錯誤(VH),醉人(VH),討喜(VH)","食(VC),難忘(VK),醜惡(VH)","雄厚(VH),複雜(VH),紅(VH)","飽滿(VH),豐潤(VH),親切(VH)","領略到(VJ),遙遠(VH),苦澀(VH)","豪邁(VH),讓(VL),誘惑(VC)[+nom]"
,,爽快,V,pos,"{答應,性格,地,她,很,時,但,會,了,我}",,,,1,,happiness,,2,3,3,2.666666667,0.577350269,1.772223047,"答應(VE),大方(VH),告知(VE)","答應(VE),回(VCL),問(VE)","表示(VE),玩(VC),有情(VH)","覺(VK),熱情(VH),清涼(VH)","開放(VH),過癮(VH),贏錢(VA)","飲(VC),追問(VE),見面(VA)"
,,舒暢,V,pos,"{全身,身心,感到,心情,感覺,於是,心,令,覺得,好}",,,,1,,happiness,,2,3,3,2.666666667,0.577350269,1.772223047,"縮(VA),無比(VH),快活(VH)","避免(VE),踏出(VCL),細膩(VH)","變化(VHC),設計(VC),易(VH)","營造(VC),無限(VH),無比(VH)","配上(VC),那麼(VH),覺得(VK)","讓(VL),良好(VH),熱(VHC)"
,,痛快,V,pos,"{悲傷,玩,哭,喝,吧,覺得,真,吃,得}",,,,1,,happiness,,3,3,3,3,0,1.926068113,"酣暢(VH),相忘(VK),直接(VH)","醒來(VH),跳舞(VA),謝謝(VJ)","駕駛(VC),飲(VC),遊玩(VA)","覺得(VK),能(VL),感到(VK)","高興(VK),飲(VC),讓(VL)","風靡(VJ),過癮(VH),讓(VL)"
,,快意,V,pos,"{恩仇,就,也,一,的}",,,,1,,happiness,,1,2,3,2,1,1.464532915,"自,得,(,V,H,)","說(VE),殺人(VA)","響(VH),開始(VH),說不上(VG)","順適(VH),需要(VK),輕鬆(VH)","輕鬆(VH),覺得(VK),莫名(VH)","需要(VK),避暑(VA),沒有(VJ)"
,,豁朗,V,pos,,,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,,,,,,
,,可喜,V,pos,"{可賀,可愛,現象,件,非常,文化,但是,已,者,每}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"可賀(VH),可愛(VH)","轉變(VHC),跑(VA),贊助(VD)","希望(VK),參加(VC),但願(VK)","鮮嫩(VH),跨出(VCL),認為(VE)","預估(VE),重視(VJ)[+nom],選購(VC)","讓(VL),謂(VE),說(VE)"
,,舒坦,V,pos,"{得,讓,人,也,的}",,,,1,,happiness,,2,2,3,2.333333333,0.577350269,1.618377981,"自在(VH),盡意(VA),勞累(VH)","放置(VC),咧嘴(VA)","綻露(VC),笑(VA),令(VL)","覺得(VK),清心(VH)","讓(VL),活(VH),快活(VH)","酸(VH),達到(VJ),散發(VC)"
,,仰慕,V,pos,"{對,他,我,就,了,這,個,的,一}",,,,1,,happiness,,1,2,2,1.666666667,0.577350269,1.310687849,"投奔(VC),強盛(VH),嚮往(VK)","屈伏(VI),富有(VH),喜歡(VK)","還(VD),久(VH)","開始(VL),讓(VL),無窮(VH)","炙熱(VH),有餘(VH),敬羡(VJ)[+nom]","超越(VC),說(VE),竄升(VA)"
,,慶幸,V,pos,"{慶幸,值得,感到,自己,支持,不會,很,應該,正,不過}",,,,1,,happiness,,2,2,2,2,0,1.464532915,"長(VH),這樣(VH),身為(VG)","高興(VK),走避(VCL),走出來(VA)","養生(VA),閏(VJ),選擇(VC)","深深(VH),感到(VK),感(VK)","釋懷(VH),讚嘆(VE),讓(VL)","順利(VH),辛酸(VH),轉換(VC)"
,,眷戀,V,pos,"{卻,著,對,中,與,不,的,一,在}",,,,1,,happiness,,1,1,3,1.666666667,1.154700538,1.310687849,"無(VJ),投向(VC),忿懣(VI)","離去(VA),賡續(VF),看(VC)","辛勤(VH),謙卑(VH),自拔(VH)","引人(VH),尊重(VJ),如煙(VH)","讓(VL),無盡(VH),普遍(VH)","洩露(VC),抱持(VJ),懷有(VJ)"
,,入神,V,pos,"{聽,得,了,的}",,,,1,,happiness,,1,1,3,1.666666667,1.154700538,1.310687849,"忘,(,V,K,)","過(VCL),這樣(VH)","爆,發,(,V,J,)","聽得(VE),居住(VA)","聽(VE),看(VC),打(VC)","聽(VE),看書(VA)"
,,好受,V,pos,"{滋味,實在,真,不,很,也,這,個}",,,,1,,happiness,,2,2,2,2,0,1.464532915,,"相反(VH),治療(VC),沒辦法(VI)","笑(VA),知道(VK)",,"漫,長,(,V,H,)","言出必行(VH),挨過(VJ)"
,,期求,V,pos,,,,,1,,happiness,,1,0,-1,0,1,0.541462518,,,,,,
,,無奈,V,neg,"{迫於,氣結,心酸,百般,不知所措,攤開,辛酸,宿命,何其,無力感}",,,,1,,sadness,,-1,-1,-2,-1.333333333,0.577350269,-0.073917747,"面對(VC),造化弄人(VH),追逐(VC)","鼻酸(VH),點頭(VA),飲恨(VH)","騙(VC),駑鈍(VH),順應(VJ)","頗覺(VK),露出(VC),逼(VF)","高(VH),順應(VJ),面試(VC)","體會(VK),頗覺(VK),面臨(VK)"
,,悲傷,V,neg,"{痛快,悲傷,哭泣,無奈,眼淚,樂觀,快樂,哭,痛苦,面前}",,,,1,,,"{無奈,寂寞,失望,傷感,心痛,惱怒,痛苦,辛酸,哀愁,失落,煩憂,憂煩,哀傷,憂傷,憂愁,悲哀,哀戚,悲痛,哀痛,憂鬱,尷尬,悻悻,悵然,漠然,羞愧,愁悶,煩悶,惆悵,苦悶,懊惱,苦澀,寂寥,苦惱,哀思,憂惱,憂悶,鬱卒,愁悵,心酸,悲涼,落寞,愁苦,哀怨,沮喪,悲愁,酸楚,抑鬱,憂憤,悽楚,悲切,傷痛,悲情,悲苦,痛心,沉鬱,悲憤,悲愴,悽慘,悲慟,悲鬱,鬱悶,悲慘,沉痛,絕望}",-3,-3,-2,-2.666666667,0.577350269,-0.689298011,"輔導(VC),讓(VL),說(VE)","通過(VC),超越(VC),說(VE)","驕傲(VH),遺憾(VK),趕到(VCL)","驚嚇(VC),開始(VH),遏(VC)","鼻酸(VH),驕傲(VH),難(VH)","顫動(VA),震驚(VHC),開導(VC)[+nom]"
,,寂寞,V,neg,"{芳心,甚囂塵上,音符,孤單,空虛,貧,孤獨,寂寞,得很,俱樂部}",,,,1,,sadness,,-2,-2,-2,-2,0,-0.381607879,"黃(VH),鬱悶(VH),需要(VK)","飄(VA),過(VCL),進來(VA)","點燃(VC),香(VH),飛回(VCL)","鬱悶(VH),顯得(VK),難耐(VC)","麻木(VH),飄游(VA),關機(VA)","高興(VK),頓感(VK),陪伴(VC)"
,,失望,V,neg,"{失望,沮喪,之餘,絕望,傷心,來自於,感到,無奈,感,有點}",,,,1,,sadness,,-2,-2,-3,-2.333333333,0.577350269,-0.535452945,"難過(VK),落寂(VH),無奈(VH)","養(VC),離開(VC),陪(VC)","面對(VC),離開(VC),離去(VA)","難掩(VC),陷入(VCL),閃過(VCL)","高(VH),頗覺(VK),露出(VC)","難過(VK),關懷(VJ),長出來(VH)"
